"variableName","Labels","labelValues","fileFormat"
"tt3g42a","Teach.prac. I present a summary of recently learned content","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g42b","Teach.prac. I set goals at the beginning of instruction","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g42c","Teach.prac. I explain what I expect the students to learn","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g42d","Teach.prac. I explain how new and old topics are related","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g42e","Teach.prac. I present tasks for which there is no obvious solution","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g42f","Teach.prac. I give tasks that require students to think critically","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g42g","Teach.prac. I have studs work in small groups to come up with a joint solution","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g42h","Teach.prac. I ask students to decide on own procedures for solving complex tasks","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g42i","Teach.prac. I tell students to follow classroom rules","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g42j","Teach.prac. I tell students to listen to what I say","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g42k","Teach.prac. I calm students who are disruptive","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g42l","Teach.prac. When the lesson begins","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g42m","Teach.prac. I refer to a problem from everyday life or work","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g42n","Teach.prac. Let students practice similar tasks until eachstudent has understood","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g42o","Teach.prac. I give students projects that require at least one week to complete","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g42p","Teach.prac. I let students use ICT for projects or class work","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g43a","Use of methods of assessing student learning I administer my own assessment","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g43b","Use methods assessing student learning Provide written feedback on stud work","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g43c","Use methods assessing student learning Let stud evaluate their own progress","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g43d","Use methods assessing student learning Observe stud working on particular tasks","NEVER OR ALMOST NEVER; OCCASIONALLY; FREQUENTLY; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g44","Taught classroom with students from different cultures","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g45a","Cult. diverse class Cope w. challenges of a multicultural classroom","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g45b","Cult. diverse class Adapt teaching to cultural diversity of studs","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g45c","Cult. diverse class Ensure that studs with w/out migration backg. work together","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g45d","Cult. diverse class Raise awareness for cultural differences amongst students","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g45e","Cult. diverse class Reduce ethnic stereotyping amongst students","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g46","School includes students of more than one cultural or ethnic  background","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g47a","Impl. of practices Encourage studs expression of diverse cultural identities","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g47b","Impl. of practices Organising multicultural events","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g47c","Impl. of practices Teaching std how to deal with ethnic and cult. discrim.","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g47d","Impl. of practices Adopting practices that integrate glob themes via curriculum","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g48a","Sch.climate Sch provides staff w. opp. to actively participate in sch decisions","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g48b","Sch provide parents/ guardians w. opportunities active part in school decisions","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g48c","Sch.climate Sch provide studs w. opp. to actively participate in sch decisions","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g48d","Sch.climate Sch has a culture of shared responsibility for school issues","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g48e","Sch.climate There is a collaborative sch culture characterised by mutual support","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g48f","Sch.climate Sch staff share a common set of beliefs about teaching and learning","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g48g","Sch.climate Sch staff enforce rules for stud behaviour consistently via the sch","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g48h","Sch.climate Sch encourages staff to lead new initiatives","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g49a","Agree Teachers and students usually get on well with each other - T","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g49b","Agree Most teachers believe that the students well-being is imp","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g49c","Agree Most teachers are interested in what students have to say","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g49d","Agree If a student needs extra assistance","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g49e","Agree Teachers can rely on each other - T","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g50","Years continuing being a teacher","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g51a","Experiences I experience stress in my work","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g51b","Experiences My job leaves me time for my personal life","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g51c","Experiences My job negatively impacts my mental health","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g51d","Experiences My job negatively impacts my physical health","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g52a","Work stress Having too much lesson preparation","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g52b","Work stress Having too many lessons to teach","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g52c","Work stress Having too much marking","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g52d","Work stress Having too much administr. work to do (e.g. filling out forms) - T","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g52e","Work stress Having extra duties due to absent teachers","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g52f","Work stress Being held responsible for students achievement - T","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g52g","Work stress Maintaining classroom discipline","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g52h","Work stress Being intimidated or verbally abused by students - T","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g52i","Work stress Keeping up with changing requirements from authorities - T","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g52j","Work stress Addressing parent or guardian concerns - T","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g52k","Work stress Modifying lessons for students with special learning needs","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g53a","Feeling The advantages of being a teacher clearly outweigh the disadvantages","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g53b","Feeling If I could decide again","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g53c","Feeling I would like to change to another school if that were possible - T","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g53d","Feeling I regret that I decided to become a teacher","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g53e","Feeling I enjoy working at this school - T","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g53f","Feeling I wonder if it would have been better to choose anoth. profession - T","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g53g","Feeling I would recommend my school as a good place to work - T","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g53h","Feeling I think that the teaching profession is valued in society - T","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g53i","Feeling I am satisfied with my performance in this school - T","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g53j","Feeling All in all","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g54a","Agree I am satisfied w the salary I receive","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g54b","Agree I am satisfied w the terms of my teaching contract/employment","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g54c","Agree Teachers views valued by policymakers","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g54d","Agree Teachers can influence educ. policy","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g54e","Agree Teachers are valued by the media","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g55a","Importance of spending priorities Investing in ICT","OF LOW IMPORTANCE; OF MODERATE IMPORTANCE; OF HIGH IMPORTANCE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g55b","Importance of spending priorities Investing in instructional materials","OF LOW IMPORTANCE; OF MODERATE IMPORTANCE; OF HIGH IMPORTANCE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g55c","Imp. of spending priorities: Supporting stds from disadv/migrant backgrounds","OF LOW IMPORTANCE; OF MODERATE IMPORTANCE; OF HIGH IMPORTANCE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g55d","Importance of spending priorities Reducing class sizes by recruiting more staff","OF LOW IMPORTANCE; OF MODERATE IMPORTANCE; OF HIGH IMPORTANCE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g55e","Importance of spending priorities Improving school buildings and facilities","OF LOW IMPORTANCE; OF MODERATE IMPORTANCE; OF HIGH IMPORTANCE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g55f","Importance of spending priorities Supporting students with special needs","OF LOW IMPORTANCE; OF MODERATE IMPORTANCE; OF HIGH IMPORTANCE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g55g","Imp. of spending priorities Offering high quality prof.dev. for teachers","OF LOW IMPORTANCE; OF MODERATE IMPORTANCE; OF HIGH IMPORTANCE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g55h","Importance of spending priorities Improving teachers salaries","OF LOW IMPORTANCE; OF MODERATE IMPORTANCE; OF HIGH IMPORTANCE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g55i","Imp. spending priorities Reduc tchrs admin. load by recruiting more supp staff","OF LOW IMPORTANCE; OF MODERATE IMPORTANCE; OF HIGH IMPORTANCE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g56a","Abroad for prof.purp. As a student as part of my teacher education","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g56b","Abroad for prof.purp. As a teacher in an EU programme","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g56c","Abroad for prof.purp. As a teacher in a regional or national programme","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g56d","Abroad for prof.purp. As a teacher as arranged by my school or school district","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g56e","Abroad for prof.purp. As a teacher by my own initiative","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g57a","Purposes of visits abroad Studying","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g57b","Purposes of visits abroad Language learning","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g57c","Purposes of visits abroad Learning of other subject areas","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g57d","Purposes of visits abroad Accompanying visiting students","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g57e","Purposes of visits abroad Establishing contact with schools abroad","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g57f","Purposes of visits abroad Teaching","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g57g","Purposes of visits abroad Other","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g58","Duration stayed abroad for professional purposes","FOR LESS THAN THREE MONTHS; FOR THREE TO TWELVE MONTHS; FOR MORE THAN A YEAR; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tpart","Final Participation Indicator Teacher","PARTICIPATED; ABSENT; LEFT SCHOOL PERMANENTLY; NOT PART OF SAMPLE; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"modea_tcq","Teacher Questionnaire assigned mode","ONLINE; PAPER; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"idpop","Population ID","ISCED 1; ISCED 2; ISCED 3; PISA LINK; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"intal18","Adjudication Flag","RECORD DOES NOT MEET ADJUDICATION REQUIREMENTS; RECORD MEETS ADJUDICATION REQUIREMENTS; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"talis08pop","Comparable domain to TALIS 2008 target population definition","NOT COMPARABLE TO TALIS 2008 TARGET POPULATION DEFINITION; COMPARABLE TO TALIS 2008 TARGET POPULATION DEFINITION; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"talis13pop","Comparable domain to TALIS 2013 target population definition","NOT COMPARABLE TO TALIS 2013 TARGET POPULATION DEFINITION; COMPARABLE TO TALIS 2013 TARGET POPULATION DEFINITION; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"schwgt","Principal Final Weight Based on Teacher Participation","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tchwgt","Teacher Final Weight","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt1","Teacher BRR-Fay Replicate Weight 1","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt2","Teacher BRR-Fay Replicate Weight 2","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt3","Teacher BRR-Fay Replicate Weight 3","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt4","Teacher BRR-Fay Replicate Weight 4","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt5","Teacher BRR-Fay Replicate Weight 5","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt6","Teacher BRR-Fay Replicate Weight 6","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt7","Teacher BRR-Fay Replicate Weight 7","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt8","Teacher BRR-Fay Replicate Weight 8","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt9","Teacher BRR-Fay Replicate Weight 9","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt10","Teacher BRR-Fay Replicate Weight 10","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt11","Teacher BRR-Fay Replicate Weight 11","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt12","Teacher BRR-Fay Replicate Weight 12","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt13","Teacher BRR-Fay Replicate Weight 13","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt14","Teacher BRR-Fay Replicate Weight 14","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt15","Teacher BRR-Fay Replicate Weight 15","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt16","Teacher BRR-Fay Replicate Weight 16","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt17","Teacher BRR-Fay Replicate Weight 17","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt18","Teacher BRR-Fay Replicate Weight 18","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt19","Teacher BRR-Fay Replicate Weight 19","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt20","Teacher BRR-Fay Replicate Weight 20","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt21","Teacher BRR-Fay Replicate Weight 21","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt22","Teacher BRR-Fay Replicate Weight 22","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt23","Teacher BRR-Fay Replicate Weight 23","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt24","Teacher BRR-Fay Replicate Weight 24","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt25","Teacher BRR-Fay Replicate Weight 25","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt26","Teacher BRR-Fay Replicate Weight 26","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt27","Teacher BRR-Fay Replicate Weight 27","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt28","Teacher BRR-Fay Replicate Weight 28","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt29","Teacher BRR-Fay Replicate Weight 29","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt30","Teacher BRR-Fay Replicate Weight 30","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt31","Teacher BRR-Fay Replicate Weight 31","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt32","Teacher BRR-Fay Replicate Weight 32","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt33","Teacher BRR-Fay Replicate Weight 33","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt34","Teacher BRR-Fay Replicate Weight 34","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt35","Teacher BRR-Fay Replicate Weight 35","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt36","Teacher BRR-Fay Replicate Weight 36","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt37","Teacher BRR-Fay Replicate Weight 37","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt38","Teacher BRR-Fay Replicate Weight 38","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt39","Teacher BRR-Fay Replicate Weight 39","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt40","Teacher BRR-Fay Replicate Weight 40","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt41","Teacher BRR-Fay Replicate Weight 41","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt42","Teacher BRR-Fay Replicate Weight 42","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt43","Teacher BRR-Fay Replicate Weight 43","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt44","Teacher BRR-Fay Replicate Weight 44","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt45","Teacher BRR-Fay Replicate Weight 45","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt46","Teacher BRR-Fay Replicate Weight 46","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt47","Teacher BRR-Fay Replicate Weight 47","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt48","Teacher BRR-Fay Replicate Weight 48","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt49","Teacher BRR-Fay Replicate Weight 49","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt50","Teacher BRR-Fay Replicate Weight 50","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt51","Teacher BRR-Fay Replicate Weight 51","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt52","Teacher BRR-Fay Replicate Weight 52","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
